param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
200,10,2,2,log2,True,0.8058576420122507,0.04481090543942887,159
500,10,10,2,sqrt,True,0.8058454647256438,0.04605092823136759,160
200,,5,1,sqrt,True,0.8058442164007857,0.046341501300995555,161
200,30,5,1,sqrt,True,0.8058442164007857,0.046341501300995555,161
800,10,2,2,0.5,True,0.8058302890116815,0.04503670721661517,163
500,20,10,2,log2,True,0.805813216333474,0.04547746283829885,164
500,30,10,2,log2,True,0.805813216333474,0.04547746283829885,164
500,,10,2,log2,True,0.805813216333474,0.04547746283829885,164
300,,2,1,log2,True,0.8057883538633819,0.043219382444183836,167
300,30,2,1,log2,True,0.8057883538633819,0.043219382444183836,167
500,20,2,1,0.5,True,0.8057831892252431,0.04186239607287543,169
800,10,2,1,0.5,True,0.8057755585335853,0.041379730587756354,170
200,20,5,1,sqrt,True,0.8057740409621893,0.04621463349494093,171
800,10,5,2,0.5,True,0.805765682081031,0.04430060688307707,172
800,,5,1,0.5,True,0.8057533456941972,0.043321547511220686,173
800,30,5,1,0.5,True,0.8057533456941972,0.043321547511220686,173
800,,2,1,0.5,True,0.8057514364914728,0.04314250605874951,175
800,30,2,1,0.5,True,0.8057514364914728,0.04314250605874951,175
300,,5,4,log2,True,0.8057449378591229,0.04388448722907354,177
300,30,2,4,log2,True,0.8057449378591229,0.04388448722907354,177
300,20,5,4,log2,True,0.8057449378591229,0.04388448722907354,177
300,20,2,4,log2,True,0.8057449378591229,0.04388448722907354,177
300,30,5,4,log2,True,0.8057449378591229,0.04388448722907354,177
300,,2,4,log2,True,0.8057449378591229,0.04388448722907354,177
500,20,10,1,log2,False,0.8057275592189402,0.04247547156273375,183
800,30,10,1,log2,False,0.8057225292040705,0.04093551963372123,184
800,,10,1,log2,False,0.8057225292040705,0.04093551963372123,184
800,10,5,1,0.5,True,0.8057159693793254,0.04334158708868574,186
500,30,10,1,log2,False,0.8056917371909019,0.041981423130997474,187
500,,10,1,log2,False,0.8056917371909019,0.041981423130997474,187
500,30,10,4,sqrt,True,0.8056716048929438,0.04608490457792261,189
500,20,10,4,sqrt,True,0.8056716048929438,0.04608490457792261,189
500,,10,4,sqrt,True,0.8056716048929438,0.04608490457792261,189
800,20,5,1,0.5,True,0.8056488657989584,0.04336999710195659,192
800,20,2,2,0.5,True,0.8056341918626353,0.04718956918696233,193
800,30,2,2,0.5,True,0.8056341918626353,0.04718956918696233,193
800,,2,2,0.5,True,0.8056341918626353,0.04718956918696233,193
800,20,2,1,0.5,True,0.8056289170781856,0.042971717657883324,196
500,10,10,4,log2,True,0.8055987492274461,0.04517723870841627,197
800,20,10,1,sqrt,True,0.8055963382470827,0.04441425934966073,198
800,,10,1,sqrt,True,0.8055612505277845,0.04442497158448872,199
800,30,10,1,sqrt,True,0.8055612505277845,0.04442497158448872,199
800,20,10,1,log2,False,0.8055484490787486,0.041071462227929574,201
200,,2,1,0.5,True,0.805542115665865,0.04123806083549989,202
200,30,2,1,0.5,True,0.805542115665865,0.04123806083549989,202
300,20,2,1,log2,True,0.8055093777345352,0.042989036699769126,204
200,10,2,1,log2,True,0.805498711900085,0.042324695769930316,205
800,10,10,1,sqrt,True,0.805485053757519,0.0431499327413487,206
300,20,5,2,log2,True,0.8054746755273255,0.047935920444435814,207
300,30,5,2,log2,True,0.8054746755273255,0.047935920444435814,207
300,,5,2,log2,True,0.8054746755273255,0.047935920444435814,207
200,,5,2,log2,False,0.805431730704508,0.043244580099435354,210
200,30,5,2,log2,False,0.805431730704508,0.043244580099435354,210
800,20,10,1,sqrt,False,0.8054097748731787,0.04274006233269522,212
300,30,5,2,log2,False,0.8054091507107495,0.042484153626799755,213
300,,5,2,log2,False,0.8054091507107495,0.042484153626799755,213
300,20,5,2,log2,False,0.8054089426566066,0.04242695128456117,215
300,10,2,2,sqrt,True,0.8054028846095008,0.041742828101587345,216
300,20,10,2,sqrt,True,0.80539063389202,0.04607447161923379,217
300,,10,2,sqrt,True,0.80539063389202,0.04607447161923379,217
300,30,10,2,sqrt,True,0.80539063389202,0.04607447161923379,217
300,30,10,2,0.5,True,0.8053357810291336,0.04517654634329525,220
300,,10,2,0.5,True,0.8053357810291336,0.04517654634329525,220
300,20,10,2,0.5,True,0.8053357810291336,0.04517654634329525,220
300,20,2,2,0.5,True,0.805331191599508,0.0443863241964552,223
300,30,2,2,0.5,True,0.805331191599508,0.0443863241964552,223
300,,2,2,0.5,True,0.805331191599508,0.0443863241964552,223
500,20,5,1,log2,False,0.8053128583579632,0.04315709143386486,226
300,10,5,2,log2,True,0.8053113163096091,0.045608293361565515,227
800,20,5,1,log2,False,0.8053104596160789,0.04251457514961256,228
300,20,5,1,log2,False,0.8052789944865651,0.042489521074330856,229
500,30,10,1,sqrt,False,0.8052761673979159,0.043054127206109766,230
500,,10,1,sqrt,False,0.8052761673979159,0.043054127206109766,230
200,,2,2,0.5,True,0.8052418629412736,0.04503780995257267,232
200,20,2,2,0.5,True,0.8052418629412736,0.04503780995257267,232
200,30,2,2,0.5,True,0.8052418629412736,0.04503780995257267,232
800,,10,1,sqrt,False,0.8052349114852007,0.04257461746397137,235
800,30,10,1,sqrt,False,0.8052349114852007,0.04257461746397137,235
200,20,5,2,log2,False,0.8052216204970046,0.04323019606077576,237
800,10,10,4,log2,True,0.8052181202920101,0.04503836772738825,238
500,10,10,4,sqrt,True,0.8052157705040418,0.04632996923170227,239
200,30,2,1,log2,True,0.805187444544392,0.04334658460794248,240
200,,2,1,log2,True,0.805187444544392,0.04334658460794248,240
500,20,2,1,log2,False,0.8051757139622687,0.04188493341793476,242
500,30,10,2,0.5,True,0.805163377575435,0.045417287284682306,243
500,,10,2,0.5,True,0.805163377575435,0.045417287284682306,243
500,20,10,2,0.5,True,0.805163377575435,0.045417287284682306,243
200,20,2,1,0.5,True,0.8051587391918933,0.041289181376818994,246
200,,10,4,log2,False,0.8051398307418355,0.04549137563771992,247
200,20,10,4,log2,False,0.8051398307418355,0.04549137563771992,247
200,30,10,4,log2,False,0.8051398307418355,0.04549137563771992,247
300,30,5,1,log2,False,0.8051380684008592,0.04261840083844525,250
300,,5,1,log2,False,0.8051380684008592,0.04261840083844525,250
800,30,10,2,0.5,True,0.8051329404781573,0.04546232766467065,252
800,20,10,2,0.5,True,0.8051329404781573,0.04546232766467065,252
800,,10,2,0.5,True,0.8051329404781573,0.04546232766467065,252
300,30,5,2,sqrt,True,0.8051270537697575,0.0444998715806874,255
300,,5,2,sqrt,True,0.8051270537697575,0.0444998715806874,255
300,20,5,2,sqrt,True,0.8051270537697575,0.0444998715806874,255
500,10,10,1,log2,True,0.8051079495040355,0.04603484529238089,258
500,,5,1,log2,False,0.805104057667713,0.043765744884382,259
500,30,5,1,log2,False,0.805104057667713,0.043765744884382,259
500,,2,1,log2,False,0.8051033661936493,0.04164820091041607,261
500,30,2,1,log2,False,0.8051033661936493,0.04164820091041607,261
